loan_id,installment_no,risk_bucket,pred_prob,target,missed_payment_last_3m,late_payment_last_3m,dpd_trend_slope,max_dpd_last_3m,sma_encoded,rolling_30d_balance_volatility,both_shocks_flag,income_shock_flag_3m,cash_flow_trend,bureau_score,risk_tier_encoded,grade_encoded,emi_to_income_ratio,payment_ratio_last_month
LN00000000,19,RED,0.5180505257896117,0,0.0,0.0,0.0,0.0,0,0.2154,0,0.0,0.015149999999999997,692,1,4,0.12198671606723296,1.0
LN00000001,10,RED,0.5771532090666599,0,0.0,1.0,-3.0,6.0,0,0.4271,0,0.0,0.06574999999999998,0,3,8,0.09009756763210863,1.0
LN00000002,11,AMBER,0.44987586535702795,0,0.0,0.0,0.0,0.0,0,0.42110000000000003,0,0.0,0.06520000000000004,606,1,5,0.19897197593413551,1.0
LN00000003,7,RED,0.554050915261852,0,0.0,0.0,0.0,0.0,0,0.2063,0,0.0,0.05725000000000002,644,1,5,0.4440676565909043,1.0
LN00000004,24,GREEN,0.15476720722312054,0,0.0,1.0,0.0,26.0,0,0.09893333333333333,0,0.0,-0.08945000000000003,709,0,1,0.1427643525124281,1.0
LN00000005,17,AMBER,0.43668036600751964,0,0.0,0.0,0.0,0.0,0,0.10246666666666666,0,0.0,-0.02250000000000002,733,0,1,0.31846327854019,1.0
LN00000006,6,GREEN,0.15060773856652113,0,0.0,0.0,0.0,0.0,0,0.3144666666666666,0,0.0,0.059699999999999975,449,2,7,0.14286412913375054,1.0
LN00000009,16,AMBER,0.3696818902354286,0,0.0,0.0,0.0,0.0,0,0.17149999999999999,0,0.0,-0.13540000000000002,740,0,1,0.1333702510783372,1.0
LN00000010,36,AMBER,0.35316621892075833,0,0.0,0.0,0.0,0.0,0,0.38689999999999997,0,0.0,0.1737,664,1,4,0.08750248167782541,1.0
LN00000012,20,RED,0.4708237809761659,0,0.0,1.0,-10.5,21.0,0,0.47163333333333335,0,0.0,0.04735,610,1,5,0.06543370442112434,1.0
LN00000013,22,RED,0.517926648227338,0,0.0,0.0,0.0,0.0,0,0.18966666666666665,0,0.0,0.040649999999999964,699,1,4,0.12477519216594715,1.0
LN00000014,24,GREEN,0.14452977588773872,0,0.0,0.0,0.0,0.0,0,0.25306666666666666,0,0.0,0.08790000000000003,670,1,4,0.19269598665622767,1.0
LN00000015,36,AMBER,0.4488251262356019,0,0.0,0.0,0.0,0.0,0,0.35636666666666666,0,0.0,-0.008199999999999985,648,2,6,0.1825432098765432,1.0
LN00000016,28,RED,0.595682919707428,0,0.0,1.0,-13.0,26.0,0,0.3887333333333333,0,1.0,0.12949999999999998,0,3,8,0.11251450819070007,1.0
LN00000017,7,RED,0.8479697071257357,0,0.0,1.0,5.0,54.0,1,0.46049999999999996,0,0.0,-0.23325,726,1,5,0.12821102193686462,0.6845973565516987
LN00000018,19,AMBER,0.2408275415858845,0,0.0,0.0,0.0,0.0,0,0.06936666666666667,0,1.0,0.08710000000000001,648,0,2,0.14464310543872744,1.0
LN00000019,10,AMBER,0.3837184145319598,0,0.0,0.0,0.0,0.0,0,0.38033333333333336,0,0.0,0.030299999999999994,606,1,5,0.2052139166635691,1.0
LN00000021,13,RED,0.5260436661432427,0,0.0,1.0,0.0,54.0,0,0.1513,0,0.0,-0.003950000000000009,635,1,5,0.16443193575405232,1.0
LN00000022,12,RED,0.5119138977693661,0,0.0,0.0,0.0,0.0,0,0.4359,0,0.0,-0.20765000000000003,569,2,7,0.23493757125775147,1.0
LN00000023,15,RED,0.49716533411485647,0,0.0,0.0,0.0,0.0,0,0.3937,0,0.0,0.03394999999999998,0,3,8,0.1923205969252341,1.0
LN00000024,18,GREEN,0.1895336316994693,0,0.0,0.0,0.0,0.0,0,0.14783333333333334,0,0.0,0.07790000000000002,684,0,2,0.14082257092709508,1.0
LN00000025,10,AMBER,0.406798647137855,0,0.0,0.0,0.0,0.0,0,0.07286666666666668,0,0.0,-0.0023499999999999632,724,0,1,0.20118845188504447,1.0
LN00000028,57,GREEN,0.1837377632512276,0,0.0,0.0,0.0,0.0,0,0.13373333333333334,0,0.0,-0.12334999999999996,723,0,1,0.06830612950303402,1.0
LN00000029,15,RED,0.4625414981332199,0,0.0,0.0,0.0,0.0,0,0.2297,0,0.0,-0.05285000000000001,595,1,5,0.10819813519813519,1.0
LN00000034,12,AMBER,0.36688637052558914,0,0.0,0.0,0.0,0.0,0,0.08563333333333334,0,0.0,-0.18425,762,0,0,0.10129763288274513,1.0
LN00000035,44,AMBER,0.38752375678476053,0,0.0,0.0,0.0,0.0,0,0.3207666666666667,0,0.0,-0.05159999999999998,654,1,4,0.062028252642568185,1.0
LN00000038,17,AMBER,0.2770558261085482,0,0.0,0.0,0.0,0.0,0,0.1335666666666667,0,0.0,0.1482,717,0,1,0.19826128597441295,1.0
LN00000039,18,GREEN,0.18293747711199346,0,0.0,0.0,0.0,0.0,0,0.39576666666666666,0,1.0,-0.07230000000000003,557,2,7,0.17998807394156233,1.0
LN00000041,7,RED,0.8404800875004694,0,0.0,2.0,-13.0,47.0,1,0.4029666666666667,0,1.0,-0.08795,561,2,7,0.13432453245324533,1.0
LN00000042,30,AMBER,0.434304212838252,0,0.0,1.0,-0.5,1.0,0,0.2886,0,0.0,0.005800000000000027,641,1,5,0.14411790463460164,1.0
LN00000043,14,AMBER,0.3659790083309433,0,0.0,0.0,0.0,0.0,0,0.04806666666666667,0,0.0,-0.05980000000000002,724,0,1,0.2596624444481433,1.0
LN00000044,5,RED,0.461352553575552,0,0.0,0.0,0.0,0.0,0,0.2104666666666667,0,0.0,-0.08860000000000001,696,0,2,0.3760612818339949,1.0
LN00000045,10,RED,0.5005049552496968,0,0.0,0.0,0.0,0.0,0,0.22766666666666666,0,0.0,0.08744999999999997,635,1,5,0.06728650717072004,1.0
LN00000047,16,AMBER,0.39229211999296937,0,0.0,1.0,0.0,20.0,0,0.09703333333333335,0,0.0,-0.03365000000000001,763,0,0,0.18232966907133857,1.0
LN00000048,11,AMBER,0.3958526978580811,0,0.0,0.0,0.0,0.0,0,0.22853333333333334,0,0.0,0.015400000000000025,677,1,4,0.0887033468654706,1.0
LN00000049,44,RED,0.5535251828498994,0,0.0,0.0,0.0,0.0,0,0.5595,0,0.0,0.18100000000000002,513,2,7,0.15633783033351845,1.0
LN00000050,47,AMBER,0.4193680328615439,0,0.0,0.0,0.0,0.0,0,0.15666666666666668,0,0.0,-0.12439999999999996,648,1,5,0.04950257158209872,1.0
LN00000051,16,RED,0.528893836188157,0,0.0,0.0,0.0,0.0,0,0.5411333333333332,0,0.0,-0.06609999999999999,0,3,8,0.07376810265811182,1.0
LN00000052,8,AMBER,0.41666103392214676,0,0.0,0.0,0.0,0.0,0,0.28409999999999996,0,0.0,-0.04319999999999996,637,1,5,0.37093774471417384,1.0
LN00000053,17,AMBER,0.418280247562376,0,0.0,0.0,0.0,0.0,0,0.13696666666666665,0,0.0,-0.17035,703,0,1,0.041442379254964946,1.0
LN00000057,9,AMBER,0.3930728890455362,0,0.0,0.0,0.0,0.0,0,0.10189999999999999,0,0.0,-0.03115000000000001,673,1,4,0.16050657956136258,1.0
LN00000058,6,RED,0.47279230056171756,0,0.0,0.0,0.0,0.0,0,0.10816666666666667,0,0.0,-0.009350000000000025,800,0,0,0.4042356079859399,1.0
LN00000060,14,AMBER,0.42369787825159266,0,0.0,1.0,0.0,16.0,0,0.20063333333333333,0,0.0,-0.033649999999999985,590,1,5,0.06275692884711834,1.0
LN00000062,12,GREEN,0.18300582638259788,0,0.0,0.0,0.0,0.0,0,0.38576666666666665,0,0.0,0.07395000000000002,0,3,8,0.26399866555462886,1.0
LN00000064,34,AMBER,0.3855689551355758,0,0.0,0.0,0.0,0.0,0,0.1203,0,0.0,0.0015499999999999958,716,1,5,0.04503065555730231,1.0
