feature,shap_mean_abs,shap_mean,category
employment_stability_score,0.20949175288718197,0.006191005214034031,Origination
months_since_origination,0.16584167418008516,0.007309933024601707,Origination
tenure_months,0.14520811673915648,-0.004950770311756583,Origination
employment_risk,0.06651784203846223,0.00682828350303389,Origination
min_cash_flow_3m,0.019832009367821243,-0.005791835515556433,Bank Behavioral
sma_encoded,0.016145156125196222,0.005505212971617299,Repayment Behavioral
is_festival_month,0.014637931010104502,-3.9916833085559964e-05,Repayment Behavioral
apr,0.01331871509302298,-0.0048124173693263545,Origination
avg_emi_obligation_ratio,0.011270883470560943,-0.0006747980492465011,Bank Behavioral
ticket_size,0.010593896331538327,-0.0012633209959633223,Origination
product_risk,0.009179753763903535,-0.000925743943932189,Origination
monthly_income,0.00902145606271895,-0.0034704634130630374,Origination
inflow_trend,0.00869496180269056,0.00026945878486431203,Bank Behavioral
cash_flow_trend,0.00839014359313809,-0.0005573773279958734,Bank Behavioral
emi_to_income_ratio,0.008294681768607716,-0.003061505236440209,Origination
ticket_to_income_ratio,0.007978049293760257,-0.0002864341495368886,Origination
volatility_acceleration,0.007147916368243114,5.9599409780704035e-05,Bank Behavioral
rolling_30d_balance_volatility,0.006874485602428927,-0.0006744680207983847,Bank Behavioral
bureau_score,0.006731131201286677,-0.0016112160441374569,Origination
processing_fee_pct,0.006388873897155383,-8.34137307930536e-05,Origination
sma_trend,0.0038952150469080617,0.001425108439067318,Repayment Behavioral
dpd_bucket_encoded,0.0034965213691667885,-3.509108914788106e-05,Repayment Behavioral
channel_risk_score,0.003288767894130443,1.3600004923621749e-05,Origination
active_loan_accounts,0.0030155279874659424,-1.2424777478883902e-05,Bank Behavioral
dpd_trend_slope,0.002551246207667426,-0.00011986883164729241,Repayment Behavioral
partial_payment_flag,0.0019963621622283894,0.0007626154026194143,Repayment Behavioral
approval_turnaround_days,0.0017995219054511037,-1.719148686592671e-05,Origination
max_dpd_last_3m,0.0015383690139558468,0.00020901042314920847,Repayment Behavioral
income_shock_flag_3m,0.0010264557230606943,4.234636770599082e-05,Bank Behavioral
risk_tier_encoded,0.0009488229380771579,-0.00036940079726782,Origination
income_shock_count,0.0009299732259634779,0.00013733748011657756,Bank Behavioral
both_shocks_flag,0.0006182552072811869,3.409188320289353e-05,Bank Behavioral
existing_customer,0.0006128719739851288,-5.110724920430375e-06,Origination
spending_shock_flag_3m,0.000520177605966508,5.681412005774863e-06,Bank Behavioral
late_payment_last_3m,0.0004954650764318331,-0.0002384136784561636,Repayment Behavioral
grade_encoded,0.00047667623480568893,5.7232767973521436e-05,Origination
payment_ratio_last_month,0.00037187979978880716,0.00020446068990013504,Repayment Behavioral
max_sma_last_3m,0.0003691283857303734,0.0001319679722764005,Repayment Behavioral
new_to_credit_flag,7.677391015546161e-05,-6.796831818142068e-06,Origination
consecutive_missed,0.0,0.0,Repayment Behavioral
missed_payment_last_3m,0.0,0.0,Repayment Behavioral
months_no_on_time,0.0,0.0,Repayment Behavioral
